name,address,phone,description
CIRFA d'Aix en Provence,"Parking La Vilette, 2 Rue Rossini 04100 Manosque France",0442951831,"Le parking est gratuit. L'entrée du Centre d'Information et de Recrutement des Forces Armées est à l'entrée C, deuxième étage du bâtiment. Dans le cadre de votre orientation et avant vos vœux sur PARCOURSUP, n’hésitez pas à venir découvrir les opportunités de recrutement, formation et bourses d’études à notre stand : -          Le samedi 04 décembre 2021 au SALON DE L’ETUDIANT (https://www.letudiant.fr/etudes/salons/aix-en-provence-salon-de-letudiant-1.html); -          Le samedi 08 janvier 2022 au Salon STUDYRAMA (https://www.studyrama.com)."
CIRFA d'Ajaccio,Rue Vincentellu d’istria 2 20137 Porto-Vecchio France,0420007088,Se situe en-dessous de la poste. A proximité du Lycée Laetitia. En face de l’église St Antoine.
CIRFA d'Albi,Ancien CIRFA Avenue de l'Europe 12000 Rodez France,0563773276,Parking gratuit derrière le bâtiment du  Centre d'Information et de Recrutement des Forces Armées   (caserne Teyssier).
CIRFA d'Alençon,14 Rue Louis Pasteur 61600 LA FERTE MACE France,0233812930,"Le  Centre d'Information et de Recrutement des Forces Armées   se trouve entre le Conseil Général et la Préfecture, vous pourrez vous garer dans la rue. Nous vous informons sans rendez-vous. Cependant, afin d'éviter une attente éventuelle, vous pouvez prendre rendez-vous via la page de prise de rendez-vous du site."
CIRFA d'Amiens,"Centre d'Information et d'Orientation (C.I.O.) 84, Rue Saint Gilles 80142 Abbeville France",0322338361,"Ouvert le samedi matin, sur rendez-vous uniquement."
CIRFA d'Angoulême,Place d'Armes 16700 Ruffec France,0545228685,Stationnement gratuit place Victor Hugo – Boulevard René Chabasse et rue de Périgueux (jusqu’au niveau du  Centre d'Information et de Recrutement des Forces Armées  )
CIRFA d'Annecy,Château de Sonnaz Thonon-les-Bains 74200 Thonon-les-Bains France,0450666787,"Si vous souhaitez obtenir des renseignements sur l’armée de Terre, nous restons à votre disposition au  Centre d'Information et de Recrutement des Forces Armées   d’Annecy. Pour ce faire, nous vous conseillons de prendre un rendez-vous avec nous directement et de composer le 04.50.66.67.87 ou vous inscrire directement en cliquant sur « rendez-vous en cirfa ». Notre équipe se tient à votre disposition pour répondre à vos demandes"
CIRFA d'Arras,Salle des Carrièresrue des carrières 62630 ETAPLES France,0321609912,"Parking "" Cours de Verdun "" à proximité. Possibilité de venir le samedi matin sous réserve de rendez-vous."
CIRFA d'Auxerre,Mission locale 55 grande rue 89200 Avallon France,0386727272,"Vous pouvez venir à notre rencontre sans rendez-vous. Mais pour être reçu dans les meilleures conditions, nous vous invitons à nous téléphoner pour convenir d'une date et d'un horaire qui vous conviendront au mieux, ou alors prendre rendez-vous directement sur notre site."
CIRFA d'Avignon,8 Quai de Verdun 84110 Vaison la Romaine France,0490145293,"En 2022, le Centre d'Information et de Recrutement des Forces Armées ( Centre d'Information et de Recrutement des Forces Armées  ) d'Avignon organise des réunions d’information sur les métiers et les possibilités de carrières dans l’armée de Terre. Ces informations sont organisées chaque semaine. Il suffit de vous inscrire sur le site Internet SENGAGER.FR. Lors de ces réunions d’information, d’une durée d’environ 1 heures 30, un conseiller en recrutement du CIRFA vous renseigne sur les missions, les métiers et possibilités de carrières et filières qu’offre l’armée de Terre et il répond à toutes vos questions. Si vous êtes âgé(e) de 17 à moins de 30 ans et de sans diplôme à Bac + 5, vous avez peut-être votre place dans l’armée de Terre. Rien ne vous engage de participer à cette réunion d’information. L’armée de Terre vous intéresse ? Inscrivez-vous et posez vos questions sur le site Internet SENGAGER.FR Dans le contexte actuel, l’armée de Terre demeure un partenaire majeur auprès des jeunes favorisant leur premier emploi. Avec des durées de contrat allant de 1, 3, 5 à 9 ans, l’armée de Terre vous propose jusqu’à 100 spécialités à travers 16 000 postes à pourvoir en 2022. Si vous êtes motivé, vous pouvez avoir votre place au sein de l’armée de Terre. En qualité d’officier (cadre supérieur), de sous-officier (contremaître/agent de maîtrise) ou de militaire du rang (spécialiste), de nombreux emplois existent au sein de l’armée de Terre, dans des domaines très variés (mécanique, informatique, sport, logistique, combat, secrétariat, métiers de bouche etc ...). Retrouvez-nous également sur l’application mobile SENGAGER.FR (informations, conseils, …) Pour vous inscrire aux réunions d’information, contactez-nous sur le site SENGAGER.FR ou au CIRFA d’Avignon au 04 90 14 52 93."
CIRFA d'Épinal,1 rue de France  88300 NEUFCHÂTEAU France,0329292876,"En dehors des heures d'ouverture, vous pourrez laisser un message par téléphone, nous ne manquerons pas de reprendre contact avec vous dans les meilleurs délais."
CIRFA d'Évreux,avenue du président Kennedy BAT les rouges gorges 27300 BERNAY France,0232319950,Les Conseillers en recrutement du Centre d'Information et de Recrutement des Forces Armées d'Évreux sont heureux de vous accueillir afin de répondre à toutes vos questions.
CIRFA d'Orléans,Centre Agora  22 avenue de Vendôme 45190 Beaugency France,0238653607,"Situé derrière la mairie d'Orléans, à côté de la cathédrale et du Campo Santo, les conseillers en recrutement du  Centre d'Information et de Recrutement des Forces Armées   du Loiret vous informent sur les différents parcours professionnels et métiers de l'Armée de Terre."
CIRFA de Agen,21 Rue Portogruaro (face à la piscine) 47200 Marmande France,0553771571,"Le  Centre d'Information et de Recrutement des Forces Armées   se situe à 300m du tribunal, en direction du stade Armandie, au départ de la place Armand Fallières. (Quartier du tribunal et de la préfecture). Places de stationnement gratuites proche du centre."
CIRFA de Angers,"Mission locale 48, rue des Bons-Enfants 49300 CHOLET France",0241256327,"Le  Centre d'Information et de Recrutement des Forces Armées   est situé sur la place La Fayette, il est possible d'y stationner en véhicule (horodateur) ou sur avenue de Contades ou rue Dupetit Thouars. Nous vous informons sans rendez-vous. Cependant, afin d'éviter une attente éventuelle, vous pouvez prendre rendez-vous via la page de prise de rendez-vous du site."
CIRFA de Bastia,centre social Cardellu santore 20260 Calvi France,0495322048,en cours
CIRFA de Bayonne,Maison des Services Publics AMIKUZE 65 Boulevard Sainte-Madeleine 64120 Saint-Palais France,0540078034,Possibilité de stationnement sur le parking Paulmy ou Champ de Foire (parking payant) mais essayer de privilégier les transports en commun.
CIRFA de Belfort,26 bis rue Pasteur 70200 Lure France,0363782245,"Pour une première prise de contact, le  Centre d'Information et de Recrutement des Forces Armées   organise des informations collectives tous les après-midi du lundi au jeudi de 13h45 à 15h30. Vous pouvez prendre rendez-vous directement via ce site. Pour nous rejoindre, nous sommes dans l'ancien bâtiment des douanes, entre le Quick et le KFC."
CIRFA de Besançon,Place du Champ de Foire dans les locaux des finances publiques et diverses administrations 39800 POLIGNY France,0381872120,"Il n'est pas nécessaire de prendre rendez-vous pour le premier contact. Néanmoins, si vous disposez d'un créneau de temps limité, ou si vous venez de loin, nous vous conseillons de nous appeler au préalable pour être sûr qu'un conseiller puisse vous recevoir. Vous pouvez aussi vous adresser à la permanence la plus proche de votre lieu de résidence. Notre équipe se tient à votre disposition pour répondre à vos demandes. Le  Centre d'Information et de Recrutement des Forces Armées   est présent hors de Besançon lors de permanences programmées dans le Doubs, le Jura et en Haute Saône dans l'arrondissement de Vesoul. Vous les trouverez dans la rubrique ci-dessous ""Permanences""."
CIRFA de Béziers,"36, rue Jean-Jacques Rousseau 34300 AGDE France",0467304930,Antenne du  Centre d'Information et de Recrutement des Forces Armées   de Montpellier
CIRFA de Blois,Centre Administratif 3 rue de la chancellerie 41400 MONTRICHARD France,0254576242,"Le  Centre d'Information et de Recrutement des Forces Armées   se situe au carrefour entre le centre administratif et l'ancienne caserne Maurice de Saxe, nous sommes dans le même bâtiment que pour les JDC. Panneaux ""CIRFA"" à l'angle de l'Avenue Maunoury et du Boulevard Vauban. Nous vous informons sans rendez-vous. Cependant, afin d'éviter une attente éventuelle, vous pouvez prendre rendez-vous via la page de prise de rendez-vous du site."
CIRFA de Bordeaux,33 allée Robert Boulin (à côté du lycée MAX LINDER) 33500 Libourne France,0557536023,Le centre se trouve à proximité de l'hôtel de ville. Stationnement possible parking Pey Berland (payant) ou Tram ligne A et B arrêt hôtel de ville.
CIRFA de Bourg-en-Bresse,62 Impasse des hortensias 01400 Chatillon sur Chalaronne France,0474321919,"Rappel permanences : Le  Centre d'Information et de Recrutement des Forces Armées   de Bourg en Bresse, ce sont aussi des points de rencontre au sein des missions locales de Chatillon/Chalaronne, Ambérieu en Bugey, Oyonnax, Belley, Gex et Bellegarde sur Valserine !  RDV individuel de 30 min avec port du masque obligatoire Prise de RDV OBLIGATOIRE en ligne via sengager.fr"
CIRFA de Bourges,P.A.I.O 1 rue des Ecoles 36200 ARGENTON SUR CREUSE France,0248273228,"Le  Centre d'Information et de Recrutement des Forces Armées   est situé au début de l'avenue du 95eme de Ligne (avenue menant à la préfecture) à proximité du rond-point de la place Séraucourt. Nous vous informons sans rendez-vous. Cependant, afin d'éviter une attente éventuelle, vous pouvez prendre rendez-vous via la page de prise de rendez-vous du site."
CIRFA de Brest,RESIDENCE DU CRE (MAISON DE L'EMPLOI) 29160 CROZON France,0298221623,"Proche de la rue de SIAM et de la Place de la Liberté, situé dans la rue du Commissariat de Police et à environ 500 m. de la gare SNCF. Possibilité de Parking (payant) Place de la Liberté et Square Kennedy. Nous vous informons sans rendez-vous. Cependant, afin d'éviter une attente éventuelle, vous pouvez prendre rendez-vous via la page de prise de rendez-vous du site."
CIRFA de Brive,"20, rue de la Civadière 19200 Ussel France",0519310310,"Accès au 4ème étage uniquement par les escaliers (sauf personnes à mobilité réduite, nous contacter dans ce cas) Parking gratuit deux heures devant l’immeuble."
CIRFA de Caen,Mairie Place du marché 14330 Le Molay Littry France,0231384629,"Nous vous informons sans rendez-vous. Cependant, afin d'éviter une attente éventuelle, vous pouvez prendre rendez-vous via la page de prise de rendez-vous du site. Des séances d'informations collectives ou individuelles sur le recrutement sont proposées du lundi au vendredi. Téléphonez au 02 31 38 46 07 ou au 02 31 38 46 29."
CIRFA de Cahors,6 Avenue Bernard Fontanges 46106 Figeac France,0565203660,"Retrouvez-nous également sur nos différentes permanences : GOURDON, DECAZEVILLE, FIGEAC, SOUILLAC, ST-CERE, VILLEFRANCHE-DE-ROUERGUE, GRAMAT et LABASTIDE-MURAT"
CIRFA de Carcassonne,MISSION LOCALE 39 Boulevard du général Lapasset - Espace Tuffery 11400 CASTELNAUDARY France,0468267883,Nous sommes à proximité immédiate de la poste centrale et de la rue de Verdun.
CIRFA de Cergy-Pontoise,5 avenue François Mitterrand 95500 GONESSE France,0134208500,"Le Centre d'Information et de Recrutement des Forces Armées de Pontoise a pour appellation la "" Maison des Armées "". Les conseillers en recrutement sont heureux de vous accueillir afin de répondre à toutes vos questions."
CIRFA de Chambéry,45 avenue Jean Jaurès 73200 Albertville France,0479709689,"Vous avez entre 16 et 29 ans et vous souhaitez découvrir l’armée de Terre. ? Le  Centre d'Information et de Recrutement des Forces Armées   de Chambéry est ouvert du lundi au jeudi de 08h00 à 12h00 et de 12h45 à 17h15.   Le vendredi sans interruptions de 08h00 à 16h00, afin de répondre à vos questions pour : 1 – des RDV personnalisés 2 - des séances d'informations collectives, à votre demande si besoin, afin d’évoquer une spécialité particulière (ex : « l’Ecole Militaire Préparatoire Technique » - EMPT de Bourges - 16 à 20 ans) 3 – des entretiens téléphoniques avec un Conseiller en Recrutement (CeR). Mais également, possibilités de RDV sur nos différentes permanences de 09H00 à 12h00 et de 13H30 à 16h30 à : Aix les Bains, chaque 1er et 3e mercredi de chaque mois à la mairie. Albertville, chaque 1er et 2e mercredi de chaque mois au CIO. St Jean de Maurienne, chaque 4e mercredi de chaque mois au CIO. Moûtiers, chaque 3e mercredi de chaque mois à la mairie St Genix les villages (St Genix s/Guiers), chaque 2e mercredi de chaque mois de 13h30 à 16h00 UNIQUEMENT, à la Mairie. Pour nous rencontrer et être sûr(e) d’obtenir des informations personnalisées, prenez l’option RDV par téléphone au 04 79 70 96 89 ou via le site sengager.fr, onglet rouge « RENDEZ-VOUS EN CIRFA."
CIRFA de Charleville-Mézières,Antenne mission locale de Sedan 37 Avenue Général de Gaulle 08110 Carignan France,0324413536,"Afin de répondre au mieux à vos attentes, nous vous invitons à nous contacter par téléphone pour prendre rendez-vous avec un conseiller en recrutement. Possibilité de venir le samedi matin sur rendez-vous. Le  Centre d'Information et de Recrutement des Forces Armées   dispose d'un parking. Nous vous invitons à consulter ces ressources vidéo sur notre chaîne : - L'armée de Terre... comment ça marche ? - Le Centre de Formation Initiale du Militaire (CFIM). Nous sommes partenaires avec le 3e Régiment du Génie de Charleville-Mézières : vous désirez vous y engager ? Venez à notre rencontre au CIRFA !"
CIRFA de Chartres,Maison de l’Etat 2 rue de CIVRY 28200 Châteaudun France,0237915639,"Les conseillers en recrutement du Centre d’Information et de Recrutement des Forces Armées de Chartres sont heureux de vous accueillir afin de répondre à toutes vos questions. Vous pouvez rencontrer un conseiller en recrutement 1 fois par mois sur nos permanences : - A Châteaudun : Maison de l’Etat, 2 rue de Civry - A Nogent-le-Rotrou : Mission locale, 2 rue Sainte Anne - A Dreux : Maison des entreprises et de l’emploi (M2ED) 4 Rue de Châteaudun UNIQUEMENT sur RDV au 02 37 91 56 39 (Pièce d’identité obligatoire pour accéder au centre de recrutement à Chartres)"
CIRFA de Chaumont,4 rue Godard Jeanson 52100 Saint-Dizier France,0325038400,
CIRFA de Clermont-Ferrand,avenue du bon repos  ( 2eme étage du bâtiment Centre des Finances Publiques) 63300 Thiers France,0473161888,Bienvenue au  Centre d'Information et de Recrutement des Forces Armées   de Clermont-Ferrand !!
CIRFA de Compiègne,DÉLÉGATION MILITAIRE DEPARTEMENTALE 6 rue du franc Marché 60000 Beauvais France,0344385959,Nous restons à votre disposition si vous avez des questions sur l'armée de Terre.
CIRFA de Dijon,Mission locale rurale de l'Arrondissement de Beaune - antenne d'Arnay-le-Duc1 Rue de la 1ère Armée Française 21230 Arnay le duc France,0380112214,Ouvert le samedi sur rendez-vous.
CIRFA de Dunkerque,"Rue des Alliés Bâtiment de l'Arbalète, cellule 5 62120 AIRE-SUR-LA-LYS France",0328669334,"Afin de vous réserver le meilleur accueil, il est conseillé de prendre rendez-vous au préalable directement sur le site ou par téléphone sur Dunkerque, Calais, Boulogne/Mer, St Omer, Hazebrouck, Merville, Bailleul, et Aire/Lys."
CIRFA de Évry,"110 Place de l'Agora Ascenseur, CIRFA au 5e étage du centre commercial 91000 Evry France",0169474999,Les conseillers en recrutement du Centre d'Information et de Recrutement des Forces Armées sont heureux de vous accueillir afin de répondre à toutes vos questions.
CIRFA de Gap,Caserne Desmichels3 boulevard Victor Hugo 04000 DIGNE-LES-BAINS France,0492675427,en cours
CIRFA de Grenoble,CCAS - 17 avenue Docteur Tagnard 38350 La Mure D'isere France,0788542792,- Rendez-vous individuels - Rendez-vous téléphoniques - Réunions d’Information collectives 16 permanences réparties dans tout l’Isère.   Cliquez sur l’onglet en bas à droite « RENDEZ-VOUS EN  Centre d'Information et de Recrutement des Forces Armées   »
CIRFA de Guadeloupe,Quartier DUGOMMIER 97189 Guadeloupe Guadeloupe,0590606165,Les conseillers en recrutement du Centre d'Information et de Recrutement des Forces Armées sont heureux de vous accueillir afin de répondre à toutes vos questions.
CIRFA de Guyane,Agence Kourou 1 rue de la creche 97310 Kourou Guyane française,0594311245,Les Conseillers en recrutement du Centre d'Information et de Recrutement des Forces Armées Remire-Montjoly sont heureux de vous accueillir afin de répondre à toutes vos questions.
CIRFA de La Défense,7 place de la défense 92400 Courbevoie France,0171773293,Le personnel du Centre d'Information et de Recrutement des Forces Armées est heureux de vous accueillir mais uniquement sur rendez-vous. Des réunions d'informations sont organisées chaque semaine et une inscription doit être effectuée au préalable afin d'y participer. Contactez-nous.
CIRFA de La Réunion,MAIRIE ANNEXE DE TERRE SAINTE 97410 Terre-Sainte France,0262935599,Les conseillers en recrutement du Centre d'Information et de Recrutement des Forces Armées de Saint-Denis de la Réunion sont heureux de vous accueillir afin de répondre à toutes vos questions.
CIRFA de La Roche sur Yon,Maison de l'emploi 65 avenue Général de Gaulle 85300 Challans France,0251478845,"Nous vous informons sans rendez-vous. Cependant, afin d'éviter une attente éventuelle, vous pouvez prendre rendez-vous via la page de prise de rendez-vous du site."
CIRFA de La Rochelle,"3ter, rue des Broussailles 17300 Rochefort France",0546504200,"Parking en face du centre, place de Verdun (payant après la première demi-heure)."
CIRFA de Laon,8 rue Alexandre Dumas 02600 Villers-Cotterêts France,0365320206,Votre nouveau  Centre d'Information et de Recrutement des Forces Armées   ouvrira ses portes le 01 février 2023 ( Ville basse)  - L'armée de Terre... comment ça marche ?  - Le Centre de Formation Initiale du Militaire (CFIM).  Nous sommes partenaires avec le  centre d'entrainement en zone urbaine   - 94e régiment d'infanterie : vous désirez vous y engager ? Venez à notre rencontre au CIRFA !
CIRFA de Laval,Hotel de ville23 place de la république 53200 Château-Gontier France,0243910320,"Nous vous informons sans rendez-vous. Cependant, afin d'éviter une attente éventuelle, vous pouvez prendre rendez-vous via la page de prise de rendez-vous du site."
CIRFA de Lille,"3, rue Nungesser 59280 Armentières France",0359004242,
CIRFA de Limoges,Place Auguste Roche 87200 Saint-Junien France,0555348400,"Parking payant à proximité, 5 T boulevard Carnot."
CIRFA de Lorient,"Mission locale de Pontivy13, rue Saint-Jory 56300 PONTIVY France",0297124364,"Le  Centre d'Information et de Recrutement des Forces Armées   est situé en haut de la rue de Cale Ory, entre l'Hôtel Gabriel et la Tour de la Découverte."
